Seed ID,Name,Mol Concentration
cpd00058,Cu2+,3.64E-07
cpd00244,Ni2+,9.17E-07
cpd00242,H2CO3,0.1158008658
cpd00220,RIBF,1.21E-07
cpd00030,Mn2+,2.69E-05
cpd09249,Sodium bicarbonate,0
cpd00034,Zn2+,8.75E-06
cpd09244,Sodium hydroxide,0
cpd09225,Boric acid,1.47E-06
cpd00013,NH3,0.004288164666
cpd00029,Acetate,0.009090909091
cpd00541,Lipoate,2.22E-07
cpd00009,Phosphate,0.00340589788
cpd00218,Niacin,3.73E-07
cpd00263,Pyridoxol,4.46E-07
cpd00443,ABEE,3.34E-07
cpd00149,Co2+,3.82E-06
cpd00166,Calomide,5.76E-10
cpd10393,Triglycollamic acid,0.05522117668
cpd15574,tungstate,1.54E-06
cpd00971,Na+,0.1870142457
cpd11145,Sodium molybdate,1.10E-06
cpd00063,Ca2+,6.21E-06
cpd10515,Fe2+,3.26E-06
cpd00644,PAN,2.09E-07
cpd10516,fe3,0.04547138671
cpd00048,Sulfate,2.58E-04
cpd00001,H2O,1
cpd00305,THI,1.52E-07
cpd00099,Cl-,0.142127576
cpd00104,BIOT,7.48E-08
cpd00254,Mg,2.27E-04
cpd00393,FOL,4.14E-08
cpd00205,K+,0.001228501229
